X1	X2	FullDesc	Primary	Secondary
white	black	6-phosphogluconate_dehydrogenase,_decarboxylating_~Homo_sapiens	NA	NA
white	black	60_kDa_heat_shock_protein,_mitochondrial_~Homo_sapiens	NA	NA
white	black	63_kDa_protein~Homo_sapiens	NA	
white	khaki2	Acid_ceramidase~Homo_sapiens	Several	
white	khaki2	Acyl-protein_thioesterase_1~Homo_sapiens	Several	
white	khaki2	Adenine_phosphoribosyltransferase~Homo_sapiens	Several	
white	khaki2	Adenylyl_cyclase-associated_protein_1~Homo_sapiens	Several	
white	khaki2	Adipocyte_plasma_membrane-associated_protein~Homo_sapiens	Several	
white	red2	Albumin~Homo_sapiens	Blood/Saliva/Sweat	
white	khaki2	Aldehyde_dehydrogenase_family_3_member_A2~Homo_sapiens	Several	
white	black	Aldehyde_dehydrogenase,_dimeric_NADP-preferring_~Homo_sapiens	NA	NA
white	black	Aldehyde_dehydrogenase,_mitochondrial_~Homo_sapiens	NA	NA
white	khaki2	Aldo-keto_reductase_family_1_member_B10~Homo_sapiens	Several	
white	khaki2	Alpha-1-acid_glycoprotein_1~Homo_sapiens	Several	Male
white	khaki2	Alpha-1-antichymotrypsin~Homo_sapiens	Several	
white	red2	Alpha-1-antitrypsin~Homo_sapiens	Blood/Saliva/Sweat	
white	red2	Alpha-2-macroglobulin-like_protein_1~Homo_sapiens	Blood/Saliva/Sweat	
white	red2	Alpha-2-macroglobulin~Homo_sapiens	Blood/Saliva/Sweat	
white	khaki2	Alpha-actinin-4~Homo_sapiens	Several	
white	red2	Alpha-amylase_1B~Homo_sapiens	Saliva	
white	red2	Alpha-S1-casein~Homo_sapiens	Milk	
white	khaki2	Alpha-soluble_NSF_attachment_protein~Homo_sapiens	Several	
white	khaki2	Annexin_A1~Homo_sapiens	Several	
white	khaki2	Annexin_A11~Homo_sapiens	Several	
white	khaki2	Annexin_A2~Homo_sapiens	Several	
white	khaki2	Annexin_A3~Homo_sapiens	Several	
white	khaki2	Annexin_A4~Homo_sapiens	Several	
white	khaki2	Annexin_A6~Homo_sapiens	Several	
white	khaki2	Annexin_A8~Homo_sapiens	Several	
white	khaki2	Antithrombin-III~Homo_sapiens	Several	Male/Female
white	khaki2	Apolipoprotein_A-I~Homo_sapiens	Several	
white	khaki2	Apolipoprotein_B-100~Homo_sapiens	Several	
white	khaki2	Apolipoprotein_D~Homo_sapiens	Several	
