X1	X2	X3	FullDesc	Primary	Secondary
white	black	white	6-phosphogluconate_dehydrogenase,_decarboxylating_~Homo_sapiens	NA	NA
white	black	white	60_kDa_heat_shock_protein,_mitochondrial_~Homo_sapiens	NA	NA
white	black	white	63_kDa_protein~Homo_sapiens	NA	
white	khaki2	white	Acid_ceramidase~Homo_sapiens	Several	
white	khaki2	white	Acyl-protein_thioesterase_1~Homo_sapiens	Several	
white	khaki2	white	Adenine_phosphoribosyltransferase~Homo_sapiens	Several	
white	khaki2	white	Adenylyl_cyclase-associated_protein_1~Homo_sapiens	Several	
white	khaki2	white	Adipocyte_plasma_membrane-associated_protein~Homo_sapiens	Several	
white	red2	white	Albumin~Homo_sapiens	Blood/Saliva/Sweat	
white	khaki2	white	Aldehyde_dehydrogenase_family_3_member_A2~Homo_sapiens	Several	
white	black	white	Aldehyde_dehydrogenase,_dimeric_NADP-preferring_~Homo_sapiens	NA	NA
white	black	white	Aldehyde_dehydrogenase,_mitochondrial_~Homo_sapiens	NA	NA
white	khaki2	white	Aldo-keto_reductase_family_1_member_B10~Homo_sapiens	Several	
white	khaki2	darkblue	Alpha-1-acid_glycoprotein_1~Homo_sapiens	Several	Male
white	khaki2	white	Alpha-1-antichymotrypsin~Homo_sapiens	Several	
white	red2	white	Alpha-1-antitrypsin~Homo_sapiens	Blood/Saliva/Sweat	
white	khaki2	white	Alpha-1B-glycoprotein~Homo_sapiens	Several	
white	red2	white	Alpha-2-macroglobulin-like_protein_1~Homo_sapiens	Blood/Saliva/Sweat	
white	red2	white	Alpha-2-macroglobulin~Homo_sapiens	Blood/Saliva/Sweat	
white	khaki2	white	Alpha-actinin-4~Homo_sapiens	Several	
white	red2	white	Alpha-amylase_1B~Homo_sapiens	Saliva	
white	red2	white	Alpha-S1-casein~Homo_sapiens	Milk	
white	khaki2	white	Alpha-soluble_NSF_attachment_protein~Homo_sapiens	Several	
white	khaki2	white	Annexin_A1~Homo_sapiens	Several	
white	khaki2	white	Annexin_A11~Homo_sapiens	Several	
white	khaki2	white	Annexin_A2~Homo_sapiens	Several	
white	khaki2	white	Annexin_A3~Homo_sapiens	Several	
white	khaki2	white	Annexin_A4~Homo_sapiens	Several	
white	khaki2	white	Annexin_A6~Homo_sapiens	Several	
white	khaki2	white	Annexin_A8~Homo_sapiens	Several	
white	khaki2	forestgreen	Antithrombin-III~Homo_sapiens	Several	Male/Female
white	khaki2	white	Apolipoprotein_A-I~Homo_sapiens	Several	
white	khaki2	white	Apolipoprotein_B-100~Homo_sapiens	Several	
white	khaki2	white	Apolipoprotein_D~Homo_sapiens	Several	
white	black	white	Arachidonate_12-lipoxygenase,_12R-type_~Homo_sapiens	NA	NA
white	khaki2	white	Arginase-1~Homo_sapiens	Several	
