V1	V2	V3
BL5_oes~NA~NA	brown	lemonchiffon
DK1_02B~NA~NA	brown	lemonchiffon
DK1_1992A_JS003~NA~NA	brown	lemonchiffon
JS008_Abbot~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS014_Haaskraal~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS016_Haaskraal~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS018_Volstruisfontein~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS026_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS030_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS033_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS034_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS035_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS037_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS039_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS040_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS042_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS044_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS047_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS051_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS052_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS053_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS055_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS056_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS057_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS059_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS065_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS066_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS067_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS071_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS073.074_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS077_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS079_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS081_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS082_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS083_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS085_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS086_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS088_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS090_Bethelsklip~ARCH_SouthAfrica~NA	tomato3	lemonchiffon
JS091_Varsche_River-001~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS092.bead_Varsche_River-005~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS092.string_Varsche_River-005~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS093_Varsche_River-005~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS095_Varsche_River-005~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS096_Varsche_River-005~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS097_Varsche_River-005~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS098_Smitwinkelbaai~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS099_Smitwinkelbaai~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS100_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS101_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS102.103_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS105_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS108_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS109_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS111_Oakhurst~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS114_Kasteelberg-E~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS116_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS119_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS121_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS123_Kasteelberg-B~ARCH_SouthAfrica~Open-air	tomato3	tan
JS124_Glentyre~ARCH_SouthAfrica~Rockshelter	tomato3	antiquewhite
JS126~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS127~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS128~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS129~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS130~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS131~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS132~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS133~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS134~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS135~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS136~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS137~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS138~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS139~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS140~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS141~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS142~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
JS143~ARCH_Malawi~Rockshelter	tomato4	antiquewhite
