Var1	Var2	Freq
20230405_002_S492873_5413	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_003_S492874_2594	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_004_S492875_2568-1	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_005_S492876_2568-2	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_007_S492877_4995	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_008_S492878_2568-D	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_009_S492879_4894	REV_sp|A0A0B5LB55|MPAH2_PENBR	0
20230405_002_S492873_5413	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_003_S492874_2594	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_004_S492875_2568-1	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_005_S492876_2568-2	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_007_S492877_4995	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_008_S492878_2568-D	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_009_S492879_4894	REV_sp|A0A1B0GVH7|IQCM_HUMAN	0
20230405_002_S492873_5413	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_003_S492874_2594	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_004_S492875_2568-1	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_005_S492876_2568-2	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_007_S492877_4995	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_008_S492878_2568-D	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_009_S492879_4894	REV_sp|A0A1B2CTB0|PENA_PENTH	0
20230405_002_S492873_5413	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_003_S492874_2594	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_004_S492875_2568-1	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_005_S492876_2568-2	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_007_S492877_4995	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_008_S492878_2568-D	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_009_S492879_4894	REV_sp|A0A1U8QT10|ATRA_EMENI	0
20230405_002_S492873_5413	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_003_S492874_2594	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_004_S492875_2568-1	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_005_S492876_2568-2	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_007_S492877_4995	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_008_S492878_2568-D	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_009_S492879_4894	REV_sp|A0A1W6QDI6|TPS6_ISORU	0
20230405_002_S492873_5413	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_003_S492874_2594	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_004_S492875_2568-1	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_005_S492876_2568-2	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_007_S492877_4995	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_008_S492878_2568-D	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_009_S492879_4894	REV_sp|A0A2Z5Z9H5|ACT2_CRIJA	0
20230405_002_S492873_5413	REV_sp|A0A6F8RNE2|GRGD_PENSQ	0
