rawFile	nameTag	Location	Time
20230908_020_S561082_BL5_oes	BL5_oes	NA	NA
20230731_014_S540573_DK1_02B	DK1_02B	NA	NA
20230731_029_S543001_DK1_1992A_JS003	DK1_1992A_JS003	NA	NA
20230731_002_S540563_ABB	JS008 Abbot	Rockshelter	ARCH_SouthAfrica
20230908_002_S561070_014_HAAS_E7_3-5	JS014 Haaskraal	Rockshelter	ARCH_SouthAfrica
20230731_016_S542992_HAAS061	JS016 Haaskraal	Rockshelter	ARCH_SouthAfrica
20230908_032_S561090_018_VOL_B7_6	JS018 Volstruisfontein	Rockshelter	ARCH_SouthAfrica
20230907_032_S560313_KBB_G74_JS026	JS026 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_016_S560303_KBB_I63_JS030	JS030 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_033_S560314_KBB_I65_JS033	JS033 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_005_S560296_KBB_I51_JS034	JS034 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_008_S560297_KBB_I52_JS035	JS035 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_009_S560298_KBB_I54_JS037	JS037 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_010_S560299_KBB_I56_JS039	JS039 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_011_S560300_KBB_I57_JS040	JS040 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_014_S560301_KBB_I59_JS042	JS042 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_015_S560302_KBB_I511_JS043	JS044 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_029_S560312_KBB_G63_JS047	JS047 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_002_S560293_KBB_I41_JS051	JS051 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_003_S560294_KBB_I42_JS052	JS052 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_004_S560295_KBB_I43_JS053	JS053 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230731_008_S540567_KBB_H7	JS055 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230731_003_S540564_KBB_A3	JS056 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_020_S560305_KBB_A3_2_JS057	JS057 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_021_S560306_KBB_A42_JS059	JS059 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230908_021_S561083_065_KBB_H5_3	JS065 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230908_029_S561089_066_KBB_H5_4	JS066 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230731_005_S540566_KBB_H5	JS067 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230731_004_S540565_KBB_C4	JS071 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_026_S560309_KBB_C4_JS074	JS073.074 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_027_S560310_KBB_C4789_JS077	JS077 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_022_S560307_KBB_B43_JS079	JS079 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230731_020_S542994_OAK_G14_1	JS081 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230731_021_S542995_OAK_G14_2	JS082 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230731_009_S540569_OAK_G14	JS083 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_003_S561071_085_Oak_Gr_1_12	JS085 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230731_017_S542993_OAK_G18	JS086 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230731_010_S540571_OAK_19-23	JS088 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_004_S561072_090_Beth	JS090 Bethelsklip	NA	ARCH_SouthAfrica
20230731_023_S542997_VR001_496	JS091 Varsche River-001	Rockshelter	ARCH_SouthAfrica
20230731_026_S542998_VR005_3091	JS092.bead Varsche River-005	Rockshelter	ARCH_SouthAfrica
20230731_027_S542999_VR005_3092	JS092.string Varsche River-005	Rockshelter	ARCH_SouthAfrica
20230908_005_S561073_093_VR_005_-196	JS093 Varsche River-005	Rockshelter	ARCH_SouthAfrica
20230908_008_S561074_094_VR_005_SQ	JS095 Varsche River-005	Rockshelter	ARCH_SouthAfrica
20230908_009_S561075_096_VR_005_285	JS096 Varsche River-005	Rockshelter	ARCH_SouthAfrica
20230908_010_S561076_097_VR_005_302	JS097 Varsche River-005	Rockshelter	ARCH_SouthAfrica
20230908_011_S561077_098_D4_DONKEY_1	JS098 Smitwinkelbaai	Rockshelter	ARCH_SouthAfrica
20230908_014_S561078_099_D3_DONKEY_1	JS099 Smitwinkelbaai	Rockshelter	ARCH_SouthAfrica
20230731_022_S542996_OAK_DOG	JS100 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_015_S561079_101_OAK_DOG_50-543	JS101 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_022_S561084_103_OAK_DOG_18-27_56	JS102.103 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_023_S561085_105_OAK_DOG_9-18_910	JS105 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_016_S561080_108_OAK_DOG_27-36_14-17OES	JS108 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_017_S561081_109_OAK_DOG_0-9_18_19OES	JS109 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230908_026_S561086_111_OAK_DOG_74_2021OES	JS111 Oakhurst	Rockshelter	ARCH_SouthAfrica
20230907_023_S560308_KBB_C31_JS114	JS114 Kasteelberg-E	Rockshelter	ARCH_SouthAfrica
20230908_028_S561088_116_KBB_F6_WSM_123	JS116 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_028_S560311_KBB_G5_JS119	JS119 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230907_034_S560315_KBB_J7_JS121	JS121 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230731_028_S543000_KBB_J6	JS123 Kasteelberg-B	Open-air	ARCH_SouthAfrica
20230908_027_S561087_124_GLENTYRE_CAVE	JS124 Glentyre	Rockshelter	ARCH_SouthAfrica
20231103_020_S587547_JS126	JS126	Rockshelter	ARCH_Malawi
20231103_021_S587548_JS127	JS127	Rockshelter	ARCH_Malawi
20231103_022_S587549_JS128	JS128	Rockshelter	ARCH_Malawi
20231103_023_S587550_JS129	JS129	Rockshelter	ARCH_Malawi
20231103_026_S587551_JS130	JS130	Rockshelter	ARCH_Malawi
