rawFile	nameTag	Location	Time
20230405_002_S492873_5413	5413	Inland	ARCH_Kenya
20230405_003_S492874_2594	2594	Inland	ARCH_Kenya
20230405_004_S492875_2568-1	2568-1	Inland	ARCH_Kenya
20230405_005_S492876_2568-2	2568-2	Inland	ARCH_Kenya
20230405_007_S492877_4995	4995	Inland	ARCH_Kenya
20230405_008_S492878_2568-D	2568-D	Inland	ARCH_Kenya
20230405_009_S492879_4894	4894	Inland	ARCH_Kenya
20221202_012_S433300_75774	75774	Inland	Ethnographic
20221202_013_S433301_12399	12399	Inland	Ethnographic
20221202_008_S433297_75741	75741	Inland	Ethnographic
20221202_014_S433302_14917	14917	Inland	Ethnographic
20221202_002_S433292_37841	37841	NA	NA
20221202_002_S433292_37841_20221202164928	37841_20221202164928	Near coastal	Ethnographic
20221202_003_S433293_37842	37842	NA	NA
20221202_003_S433293_37842_20221202181637	37842_20221202181637	Near coastal	Ethnographic
20221202_004_S433294_4256	4256	Inland	Ethnographic
20221202_005_S433295_5164	5164	Coastal	Ethnographic
20221202_007_S433296_7571	7571	Inland	Ethnographic
20221202_009_S433298_75751	75751	Inland	Ethnographic
20230908_010_S561076_097_VR_005_302	097_VR_005_302	Coastal	ARCH_SouthAfrica
20230908_011_S561077_098_D4_DONKEY_1	098_D4_DONKEY_1	Coastal	ARCH_SouthAfrica
20230908_014_S561078_099_D3_DONKEY_1	099_D3_DONKEY_1	Coastal	ARCH_SouthAfrica
20230908_015_S561079_101_OAK_DOG_50-543	101_OAK_DOG_50-543	Near coastal	ARCH_SouthAfrica
20230908_016_S561080_108_OAK_DOG_27-36_14-17OES	108_OAK_DOG_27-36_14-17OES	Near coastal	ARCH_SouthAfrica
20230908_017_S561081_109_OAK_DOG_0-9_18_19OES	109_OAK_DOG_0-9_18_19OES	Near coastal	ARCH_SouthAfrica
20230908_020_S561082_BL5_oes	BL5_oes	NA	NA
20230908_021_S561083_065_KBB_H5_3	065_KBB_H5_3	Near coastal	ARCH_SouthAfrica
20230908_022_S561084_103_OAK_DOG_18-27_56	103_OAK_DOG_18-27_56	Near coastal	ARCH_SouthAfrica
20230908_023_S561085_105_OAK_DOG_9-18_910	105_OAK_DOG_9-18_910	Near coastal	ARCH_SouthAfrica
20230908_026_S561086_111_OAK_DOG_74_2021OES	111_OAK_DOG_74_2021OES	Near coastal	ARCH_SouthAfrica
20231103_041_S587562_JS141	JS141	Inland	ARCH_Malawi
20231103_044_S587563_JS142	JS142	Inland	ARCH_Malawi
20231103_045_S587564_JS143	JS143	Inland	ARCH_Malawi
20231103_046_S587565_JS144	JS144	Inland	ARCH_Malawi
20231103_047_S587566_MALAWI_BLANK	MALAWI_BLANK	NA	NA
20231103_020_S587547_JS126	JS126	Inland	ARCH_Malawi
20231103_021_S587548_JS127	JS127	Inland	ARCH_Malawi
20231103_022_S587549_JS128	JS128	Inland	ARCH_Malawi
20231103_023_S587550_JS129	JS129	Inland	ARCH_Malawi
20231103_026_S587551_JS130	JS130	Inland	ARCH_Malawi
20231103_027_S587552_JS131	JS131	Inland	ARCH_Malawi
20231103_028_S587553_JS132	JS132	Inland	ARCH_Malawi
20231103_029_S587554_JS133	JS133	Inland	ARCH_Malawi
20231103_032_S587555_JS134	JS134	Inland	ARCH_Malawi
20231103_033_S587556_JS135	JS135	Inland	ARCH_Malawi
20231103_034_S587557_JS136	JS136	Inland	ARCH_Malawi
20231103_035_S587558_JS137	JS137	Inland	ARCH_Malawi
20231103_038_S587559_JS138	JS138	Inland	ARCH_Malawi
20231103_039_S587560_JS139	JS139	Inland	ARCH_Malawi
20231103_040_S587561_JS140_rep	JS140_rep	Inland	ARCH_Malawi
20230731_008_S540567_KBB_H7	KBB_H7	Coastal	ARCH_SouthAfrica
20230731_009_S540569_OAK_G14	OAK_G14	Near coastal	ARCH_SouthAfrica
20230731_010_S540571_OAK_19-23	OAK_19-23	Near coastal	ARCH_SouthAfrica
20230731_014_S540573_DK1_02B	DK1_02B	Coastal	ARCH_SouthAfrica
20230731_015_S540574_OES_BL1	OES_BL1	NA	NA
20230731_016_S542992_HAAS061	HAAS061	Inland	ARCH_SouthAfrica
20230731_017_S542993_OAK_G18	OAK_G18	Near coastal	ARCH_SouthAfrica
20230731_020_S542994_OAK_G14_1	OAK_G14_1	Near coastal	ARCH_SouthAfrica
20230731_021_S542995_OAK_G14_2	OAK_G14_2	Near coastal	ARCH_SouthAfrica
20230731_022_S542996_OAK_DOG	OAK_DOG	Near coastal	ARCH_SouthAfrica
20230731_023_S542997_VR001_496	VR001_496	Near coastal	ARCH_SouthAfrica
20230731_026_S542998_VR005_3091	VR005_3091	Near coastal	ARCH_SouthAfrica
20230731_027_S542999_VR005_3092	VR005_3092	Near coastal	ARCH_SouthAfrica
20230907_033_S560314_KBB_I65_JS033	KBB_I65_JS033	Coastal	ARCH_SouthAfrica
20230907_034_S560315_KBB_J7_JS121	KBB_J7_JS121	Coastal	ARCH_SouthAfrica
