prot_acc,TrivialName,Speices
sp|P31947|1433S_HUMAN,Stratifin,Homo sapiens
sp|Q5R8A4|AL9A1_PONAB,4-trimethylaminobutyraldehyde dehydrogenase,Homo sapiens
sp|P52209|6PGD_HUMAN,"6-phosphogluconate dehydrogenase, decarboxylating ",Homo sapiens
sp|P10809|CH60_HUMAN,"60 kDa heat shock protein, mitochondrial ",Homo sapiens
zz|Y-FGCZCont00457|,63 kDa protein,Homo sapiens
sp|Q8IZT6|ASPM_HUMAN,Abnormal spindle-like microcephaly-associated protein,Homo sapiens
sp|A5A6P2|ASAH1_PANTR,Acid ceramidase,Homo sapiens
sp|Q6ZNF0|ACP7_HUMAN,Acid phosphatase type 7,Homo sapiens
sp|P07108|ACBP_HUMAN,Acyl-CoA-binding protein,Homo sapiens
sp|Q5RBR7|LYPA1_PONAB,Acyl-protein thioesterase 1,Homo sapiens
sp|P13798|ACPH_HUMAN,Acylamino-acid-releasing enzyme,Homo sapiens
sp|P07741|APT_HUMAN,Adenine phosphoribosyltransferase,Homo sapiens
sp|P23526|SAHH_HUMAN,Adenosylhomocysteinase,Homo sapiens
sp|Q5R8B4|CAP1_PONAB,Adenylyl cyclase-associated protein 1,Homo sapiens
sp|Q9HDC9|APMAP_HUMAN,Adipocyte plasma membrane-associated protein,Homo sapiens
sp|Q5RCF1|ARF4_PONAB,ADP-ribosylation factor 4,Homo sapiens
sp|Q5RCY2|NUDT5_PONAB,ADP-sugar pyrophosphatase,Homo sapiens
zz|Y-FGCZCont00098|,Albumin,Homo sapiens
zz|Y-FGCZCont00219|,Albumin,Homo sapiens
sp|Q5NVH5|ALBU_PONAB,Albumin,Homo sapiens
sp|P00352|AL1A1_HUMAN,Aldehyde dehydrogenase 1A1,Homo sapiens
sp|Q5RF60|AL3A2_PONAB,Aldehyde dehydrogenase family 3 member A2,Homo sapiens
sp|P30838|AL3A1_HUMAN,"Aldehyde dehydrogenase, dimeric NADP-preferring ",Homo sapiens
sp|Q5RF00|ALDH2_PONAB,"Aldehyde dehydrogenase, mitochondrial ",Homo sapiens
sp|P14550|AK1A1_HUMAN,Aldo-keto reductase family 1 member A1,Homo sapiens
sp|O60218|AK1BA_HUMAN,Aldo-keto reductase family 1 member B10,Homo sapiens
sp|P40394|ADH7_HUMAN,All-trans-retinol dehydrogenase [NAD(+)] ADH7,Homo sapiens
sp|P02763|A1AG1_HUMAN,Alpha-1-acid glycoprotein 1,Homo sapiens
sp|P01011|AACT_HUMAN,Alpha-1-antichymotrypsin,Homo sapiens
sp|P01009|A1AT_HUMAN,Alpha-1-antitrypsin,Homo sapiens
sp|Q5RCW5|A1AT_PONAB,Alpha-1-antitrypsin,Homo sapiens
sp|P04217|A1BG_HUMAN,Alpha-1B-glycoprotein,Homo sapiens
sp|Q9N2D0|FETUA_PANTR,Alpha-2-HS-glycoprotein,Homo sapiens
sp|P01023|A2MG_HUMAN,Alpha-2-macroglobulin,Homo sapiens
sp|A8K2U0|A2ML1_HUMAN,Alpha-2-macroglobulin-like protein 1,Homo sapiens
sp|Q5RCS6|ACTN4_PONAB,Alpha-actinin-4,Homo sapiens
sp|P0DTE7|AMY1B_HUMAN,Alpha-amylase 1B,Homo sapiens
sp|P47710|CASA1_HUMAN,Alpha-S1-casein,Homo sapiens
sp|P54920|SNAA_HUMAN,Alpha-soluble NSF attachment protein,Homo sapiens
sp|Q9H4A4|AMPB_HUMAN,Aminopeptidase B,Homo sapiens
sp|P04083|ANXA1_HUMAN,Annexin A1,Homo sapiens
sp|A5A6M2|ANXA1_PANTR,Annexin A1,Homo sapiens
sp|P50995|ANX11_HUMAN,Annexin A11,Homo sapiens
sp|Q5R5A0|ANXA2_PONAB,Annexin A2,Homo sapiens
sp|P12429|ANXA3_HUMAN,Annexin A3,Homo sapiens
sp|P09525|ANXA4_HUMAN,Annexin A4,Homo sapiens
sp|P08133|ANXA6_HUMAN,Annexin A6,Homo sapiens
sp|A5A6L7|ANXA8_PANTR,Annexin A8,Homo sapiens
sp|O76027|ANXA9_HUMAN,Annexin A9,Homo sapiens
sp|Q5R5A3|ANT3_PONAB,Antithrombin-III,Homo sapiens
sp|P0DJG0|APOA1_PANTR,Apolipoprotein A-I,Homo sapiens
sp|P0DJD2|APOA2_PONAB,Apolipoprotein A-II,Homo sapiens
sp|P06727|APOA4_HUMAN,Apolipoprotein A-IV,Homo sapiens
sp|P04114|APOB_HUMAN,Apolipoprotein B-100,Homo sapiens
sp|P05090|APOD_HUMAN,Apolipoprotein D,Homo sapiens
sp|Q9ULZ3|ASC_HUMAN,Apoptosis-associated speck-like protein containing a CARD,Homo sapiens
